id,Created,Last Edited,Last Edited By,Question (deprecated),Question (summary),Question (description - optional),Contributors,Context layer,Question Type (deprecated),Question Type,Resource Type(s),Nested Questions,Nested Question ids,Parent Question,Parent Question id,Notes
1621555500000Is there a map or diagram that captures the entire data lifecycle?,"May 20, 2021 5:05 PM","June 9, 2021 5:59 PM",Katie Morrice,Is there a map or diagram that captures the entire data lifecycle?,Is there a lineage map or diagram that captures the entire data lifecycle?,This is a yes/no question that answers if there is a lineage map that captures the data lifecycle.,Katie Morrice,Data Management Summary > Lineage Map,Yes/No — short,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Describe%20the%20lineage%20map%20that%20encompasses%20the%20data%2002548a40c31744bba7687d04caeab0cb.md,1621555680000Describe the lineage map that encompasses the data lifecycle from creation to final product.,,,
1621555680000Describe the lineage map that encompasses the data lifecycle from creation to final product.,"May 20, 2021 5:08 PM","June 10, 2021 6:41 AM",Katie Morrice,Describe the lineage map that encompasses the data lifecycle from creation to final product.,How is the data lifecycle from creation to final product represented in the lineage map or diagram?,A lineage map shows how a dataset has progressed from its original form to the final product. It describes any intermediate states of the dataset throughout the data lifecycle.,Katie Morrice,Data Management Summary > Lineage Map,Long Answer,Long Description,File,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20a%20map%20or%20diagram%20that%20captures%20the%20entire%202797009fc0c74add963475f5c9e9f48d.md,1621555500000Is there a map or diagram that captures the entire data lifecycle?,
1619045640000Who are the funding source(s) that created or supported collection of this dataset?,"April 21, 2021 3:54 PM","June 9, 2021 11:13 AM",Katy McKinney-Bock,Who are the funding source(s) that created or supported collection of this dataset?,What are the funding sources?,A description of the sources of funding that created or supported collection of this dataset.,Katy McKinney-Bock,Funding,Short Answer,Short Description (List),,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20provide%20agency%20and%20grant%20number%20or%20other%20id%201ba2e86281474266a2c2d639c5c9d0c1.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20are%20the%20grant%20number(s)%205feb62d80e4a440ebaa860193594cc3b.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20are%20the%20funding%20organizations%2083d8f53a13704e02988435cefaa5bde1.md","1619045700000Please provide agency and grant number or other identifying information for this dataset.,1623262500000What are the grant number(s)?,1623262800000What are the funding organizations?",,,
1619045700000Please provide agency and grant number or other identifying information for this dataset.,"April 21, 2021 3:55 PM","June 9, 2021 11:21 AM",Katy McKinney-Bock,Please provide agency and grant number or other identifying information for this dataset.,What is the identifying information for this dataset?,"A description of identifying information for all funders for the dataset, and for the dataset within funding agencies, should be provided. ",Katy McKinney-Bock,Funding,Long Answer,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Who%20are%20the%20funding%20source(s)%20that%20created%20or%20supp%20a69d7f62d56a4cb4a23c600998fddf3d.md,1619045640000Who are the funding source(s) that created or supported collection of this dataset?,An example here would be helpful to illustrate.
1619045760000Is maintenance or other continued support funded for this dataset?,"April 21, 2021 3:56 PM","July 5, 2021 9:43 AM",Jaron Heard ✨,Is maintenance or other continued support funded for this dataset?,Is maintenance or other continued support funded for this dataset?,,Katy McKinney-Bock,Funding,Yes/No — long,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20provide%20a%20description%20of%20the%20funding%20arrang%20d8004b1c212c43509e73bd5d9753dc9e.md,1619045760000Please provide a description of the funding arrangement that maintains this dataset and/or a description of continued support.,,,
1619045760000Please provide a description of the funding arrangement that maintains this dataset and/or a description of continued support.,"April 21, 2021 3:56 PM","June 9, 2021 11:31 AM",Katy McKinney-Bock,Please provide a description of the funding arrangement that maintains this dataset and/or a description of continued support.,What funding maintains the dataset?,"A description of what funding arrangement continues maintenance of the dataset, including details of how any continued support is funded.",Katy McKinney-Bock,Funding,Long Answer,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20maintenance%20or%20other%20continued%20support%20funded%20f%20f9d7c4501c9c4d60a01f6bdf11e4fae4.md,1619045760000Is maintenance or other continued support funded for this dataset?,An example here would be helpful to illustrate.
1619045820000Is there funding dependent on any associated outputs related to this dataset?,"April 21, 2021 3:57 PM","June 9, 2021 3:11 PM",Katy McKinney-Bock,Is there funding dependent on any associated outputs related to this dataset?,Is any funding dependent on associated outputs related to this dataset?,,Katy McKinney-Bock,Funding,Yes/No — long,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20provide%20a%20description%20of%20the%20funding%20depend%20afc0476a16934f34843d563b048fd902.md,1619045940000Please provide a description of the funding dependencies and associated outputs.,,,
1619045940000Please provide a description of the funding dependencies and associated outputs.,"April 21, 2021 3:59 PM","June 9, 2021 2:51 PM",Katy McKinney-Bock,Please provide a description of the funding dependencies and associated outputs.,What are the funding dependencies?,"A description of the associated outputs, and funding dependencies on those outputs.",Katy McKinney-Bock,Funding,Long Answer,Long Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20funding%20dependent%20on%20any%20associated%20outpu%2061b76badd6194951bd97e64999cf1223.md,1619045820000Is there funding dependent on any associated outputs related to this dataset?,An example here would be helpful to illustrate.
1619045940000Please describe any other funding-related information or disclosures available for this dataset.,"April 21, 2021 3:59 PM","June 9, 2021 11:38 AM",Katy McKinney-Bock,Please describe any other funding-related information or disclosures available for this dataset.,What other disclosures or funding-related information are available?,A description of any other disclosures or funding-related information that is available.,Katy McKinney-Bock,Funding,Long Answer,Short Description (List),,,,,,"This is an ""other information"" catch-all. "
1623262800000What are the funding organizations?,"June 9, 2021 11:20 AM","July 5, 2021 9:44 AM",Jaron Heard ✨,What are the funding organizations?,What are the funding organizations?,"All funding organizations, agencies, and/or individuals should be provided.",Katy McKinney-Bock,Funding,,Organization (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Who%20are%20the%20funding%20source(s)%20that%20created%20or%20supp%20a69d7f62d56a4cb4a23c600998fddf3d.md,1619045640000Who are the funding source(s) that created or supported collection of this dataset?,
1623262500000What are the grant number(s)?,"June 9, 2021 11:15 AM","July 5, 2021 9:43 AM",Jaron Heard ✨,What are the grant number(s)?,What are the grant number(s)?,"The relevant grant number(s), or other ID number(s), should be provided.",Katy McKinney-Bock,Funding,,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Who%20are%20the%20funding%20source(s)%20that%20created%20or%20supp%20a69d7f62d56a4cb4a23c600998fddf3d.md,1619045640000Who are the funding source(s) that created or supported collection of this dataset?,
"1619046060000Provide a list of all contributors to a dataset throughout the data lifecycle, with a brief statement describing attribution. Anonymous laborers should be attributed. Please provide attribution across all categories within the Data Lifecycle.","April 21, 2021 4:01 PM","June 9, 2021 11:47 AM",Katy McKinney-Bock,"Provide a list of all contributors to a dataset throughout the data lifecycle, with a brief statement describing attribution. Anonymous laborers should be attributed. Please provide attribution across all categories within the Data Lifecycle.",Who are the contributors?,"A list of all contributors to a dataset throughout the data lifecycle, with a brief statement describing attribution. Anonymous laborers should be attributed. Please provide attribution across all categories within the Data Lifecycle.",Katy McKinney-Bock,Funding > Attribution,Long Answer,Short Description (List),,,,,,"@Jaron Heard ✨, @Riya Swayampati - I left this type as a Short Description (List) because each person needs a statement describing what they did. I could see this  being refactored into a list of contributors, and then a list of what was contributed, but ideally those are paired in some way. "
"1620137520000Provide a list of all areas of attribution that are missing from available documentation, identifying which categories of the data lifecycle do not have known contributors.","May 4, 2021 7:12 AM","June 9, 2021 3:22 PM",Katy McKinney-Bock,"Provide a list of all areas of attribution that are missing from available documentation, identifying which categories of the data lifecycle do not have known contributors.",What areas of attribution are missing from available documentation?,"A list of all areas of attribution that are missing from available documentation, identifying which categories of the data lifecycle do not have known contributors.",Katy McKinney-Bock,Funding > Attribution,Long Answer,Short Description (List),,,,,,
"1619046240000Was the data collected automatically? ","April 21, 2021 4:04 PM","June 9, 2021 3:53 PM",Katy McKinney-Bock,"Was the data collected automatically? ","Was the data collected automatically? ",,Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,Yes/No — long,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20describe%20what%20was%20automated%20during%20data%20col%201469ceffe87c42438e9702345ebec5b0.md,1619049180000Please describe what was automated during data collection.,,,
1619049180000Please describe what was automated during data collection.,"April 21, 2021 4:53 PM","June 9, 2021 11:52 AM",Katy McKinney-Bock,Please describe what was automated during data collection.,What data collection steps involved automation?,A description of which data collection steps were automated and the automation process(es).,Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,Long Answer,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Was%20the%20data%20collected%20automatically%20b0d152a8e8e64f65bb145491ab89cb00.md,"1619046240000Was the data collected automatically? ",
1619049180000Was the data preprocessed automatically?,"April 21, 2021 4:53 PM","June 9, 2021 3:53 PM",Katy McKinney-Bock,Was the data preprocessed automatically?,Was the data preprocessed automatically?,,Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,Yes/No — long,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20describe%20which%20preprocessing%20steps%20involved%202c1d75cfda3645dbb73561d86a383768.md,1619049240000Please describe which preprocessing steps involved automation.,,,
1619049240000Please describe which preprocessing steps involved automation.,"April 21, 2021 4:54 PM","June 9, 2021 11:52 AM",Katy McKinney-Bock,Please describe which preprocessing steps involved automation.,Which preprocessing steps involved automation?,A description of which preprocessing steps were automated and the automation process(es).,Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,Long Answer,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Was%20the%20data%20preprocessed%20automatically%2032e7a07efd474b71bca5cd0a7c4d5372.md,1619049180000Was the data preprocessed automatically?,
1619049240000Was the data validated automatically?,"April 21, 2021 4:54 PM","June 9, 2021 3:53 PM",Katy McKinney-Bock,Was the data validated automatically?,Was the data validated automatically?,,Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,Yes/No — long,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20describe%20which%20validation%20steps%20involved%20au%208da8e2ab54a449f186e6b6988281b3e9.md,"1619049240000Please describe which validation steps involved automation. ",,,
"1619049240000Please describe which validation steps involved automation. ","April 21, 2021 4:54 PM","June 9, 2021 11:52 AM",Katy McKinney-Bock,"Please describe which validation steps involved automation. ",Which validation steps involved automation?,A description of which validation steps were automated and the automation process(es).,Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,Long Answer,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Was%20the%20data%20validated%20automatically%20571f94e715214ea591edd9131c59a57a.md,1619049240000Was the data validated automatically?,
"1619049240000Include a diagram showing information flow between human and automated systems, or a description if a diagram is not readily available.","April 21, 2021 4:54 PM","June 9, 2021 3:25 PM",Katy McKinney-Bock,"Include a diagram showing information flow between human and automated systems, or a description if a diagram is not readily available.",What is the structure of information flow between human and automated systems?,A description of how information flows between humans and automated systems throughout the data lifecycle. A diagram (such as a data lineage diagram) may substitute for a description.,Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,Long Answer,Long Description,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20a%20diagram%20showing%20information%20flow%20betwee%20397c81680d3f4cd6b4284bb5343142be.md,1623277440000Is there a diagram showing information flow between humans and automated systems?,,,
1620139860000Is machine learning used during any steps of the data lifecycle (e.g. during analysis)?,"May 4, 2021 7:51 AM","June 9, 2021 5:55 PM",Katie Morrice,Is machine learning used during any steps of the data lifecycle (e.g. during analysis)?,Is machine learning used during any steps of the data lifecycle?,,Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,Yes/No — short,Yes/No,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20environmental%20impacts%20do%20automated%20processes%20%201967498b8a29478485a80c045cd31ed7.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20any%20decision-making%20during%20the%20data%20lifecycle%20m%20b65c43eb8a1f481ba60560ab1d685cb5.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/If%20the%20dataset%20is%20continuously%20collected%20updated,%20%201a81a9e0c36e40119ef97a7a8fcede01.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20machine%20learning%20used%20in%20any%20downstream%20applica%202a61f87c81534173b21e83a19966bc5f.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/How%206d4788fbd8534aea9c079b73e932c9cf.md","1620139980000What environmental impacts do automated processes have? Provide estimates of emissions, if possible.,1620139920000Is any decision-making during the data lifecycle made by machine learning algorithms or other automated processes (e.g. rule-based decision tree)?,1620139920000If the dataset is continuously collected/updated, do any algorithms continue to learn or change during continuous data collection?,1620139920000Is machine learning used in any downstream applications?,1623277080000How?",,,
1620139920000Is machine learning used in any downstream applications?,"May 4, 2021 7:52 AM","June 9, 2021 3:14 PM",Katy McKinney-Bock,Is machine learning used in any downstream applications?,Is machine learning used in any downstream applications?,,Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,Yes/No — short,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/How%204152ae9d51624cdd8946b5d870450d16.md,1623276840000How?,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20machine%20learning%20used%20during%20any%20steps%20of%20the%20d%20c66ef02b54e04a08a66cad6cac0c486e.md,1620139860000Is machine learning used during any steps of the data lifecycle (e.g. during analysis)?,
"1620139920000If the dataset is continuously collected/updated, do any algorithms continue to learn or change during continuous data collection?","May 4, 2021 7:52 AM","June 9, 2021 3:12 PM",Katy McKinney-Bock,"If the dataset is continuously collected/updated, do any algorithms continue to learn or change during continuous data collection?",Do any algorithms continue to learn or change during continuous data collection?,,Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,Yes/No — short,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/How%20c9cbea13658e4739bf5ecfd81f232696.md,1623276720000How?,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20machine%20learning%20used%20during%20any%20steps%20of%20the%20d%20c66ef02b54e04a08a66cad6cac0c486e.md,1620139860000Is machine learning used during any steps of the data lifecycle (e.g. during analysis)?,
1620139920000Is any decision-making during the data lifecycle made by machine learning algorithms or other automated processes (e.g. rule-based decision tree)?,"May 4, 2021 7:52 AM","June 9, 2021 3:21 PM",Riya Swayampati,Is any decision-making during the data lifecycle made by machine learning algorithms or other automated processes (e.g. rule-based decision tree)?,"How is decision-making informed by machine learning algorithms? ",A description of how decision-making is informed by machine learning algorithms or other automated processes (e.g. rule-based decision tree) at any point during the data lifecycle.,Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,Yes/No — short,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20machine%20learning%20used%20during%20any%20steps%20of%20the%20d%20c66ef02b54e04a08a66cad6cac0c486e.md,1620139860000Is machine learning used during any steps of the data lifecycle (e.g. during analysis)?,@Jaron Heard ✨ @Riya Swayampati - this one could have a yes/no parent question.
"1620139980000What environmental impacts do automated processes have? Provide estimates of emissions, if possible.","May 4, 2021 7:53 AM","June 9, 2021 2:55 PM",Katy McKinney-Bock,"What environmental impacts do automated processes have? Provide estimates of emissions, if possible.",What environmental impacts do automated processes have?,"A description of environmental impacts, providing estimates of emissions if possible.",Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,Short Answer,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20machine%20learning%20used%20during%20any%20steps%20of%20the%20d%20c66ef02b54e04a08a66cad6cac0c486e.md,1620139860000Is machine learning used during any steps of the data lifecycle (e.g. during analysis)?,"https://arxiv.org/abs/1906.02243)
https://faculty.washington.edu/ebender/papers/Stochastic_Parrots.pdf"
1619050380000What steps were taken to collect and annotate data? Please describe.,"April 21, 2021 5:13 PM","June 10, 2021 6:42 AM",Katie Morrice,What steps were taken to collect and annotate data? Please describe.,What steps were taken to collect and annotate data?,,Katy McKinney-Bock,Methodology Cycle > Data Collection,Long Answer,Long Description,,,,,,
1619050380000Has the data collection been documented by the creators of the dataset? Please provide links or files of all documentation.,"April 21, 2021 5:13 PM","June 10, 2021 6:43 AM",Katie Morrice,Has the data collection been documented by the creators of the dataset? Please provide links or files of all documentation.,How has the data collection process been documented by the creators of the dataset?,,Katy McKinney-Bock,Methodology Cycle > Data Collection,Yes/No — short,Short Description,"External Link, File",,,,,
1619050680000Is data collection continuous or discrete? Please describe.,"April 21, 2021 5:18 PM","June 10, 2021 6:43 AM",Katie Morrice,Is data collection continuous or discrete? Please describe.,Is data collection continuous or discrete?,,Katy McKinney-Bock,Methodology Cycle > Data Collection,Short Answer,Short Description,,,,,,
1620656940000What is the spatial resolution of this dataset?,"May 10, 2021 7:29 AM","June 10, 2021 6:43 AM",Katie Morrice,What is the spatial resolution of this dataset?,What is the spatial resolution of this dataset?,,Katy McKinney-Bock,Methodology Cycle > Data Collection,Short Answer,Short Description,,,,,,
1620656940000What is the temporal resolution of this dataset?,"May 10, 2021 7:29 AM","June 10, 2021 6:43 AM",Katie Morrice,What is the temporal resolution of this dataset?,What is the temporal resolution of this dataset?,,Katy McKinney-Bock,Methodology Cycle > Data Collection,Short Answer,Short Description,,,,,,
1619051520000Are human subjects involved in the dataset?,"April 21, 2021 5:32 PM","June 10, 2021 6:44 AM",Katie Morrice,Are human subjects involved in the dataset?,Are human subjects involved in the dataset?,,Katy McKinney-Bock,Methodology Cycle > Data Collection,Yes/No — short,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Have%20human%20subjects%20given%20informed%20consent%20c97ccee02b0145ec8e57e1c78e2f1999.md,1620139200000Have human subjects given informed consent?,,,"This question needs to be reworded to request information about what type of consent was received by participants in data collection, if any."
1620139200000Have human subjects given informed consent?,"May 4, 2021 7:40 AM","June 10, 2021 6:44 AM",Katie Morrice,Have human subjects given informed consent?,Have human subjects given informed consent?,,Katy McKinney-Bock,Methodology Cycle > Data Collection,Yes/No — short,Yes/No,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Are%20human%20subjects%20involved%20in%20the%20dataset%206c3d3f823e0144469b35ef5431bd78e9.md,1619051520000Are human subjects involved in the dataset?,
1620139320000What sources of bias were considered and mitigated during data collection?,"May 4, 2021 7:42 AM","June 10, 2021 6:44 AM",Katie Morrice,What sources of bias were considered and mitigated during data collection?,What sources of bias were considered and mitigated during data collection?,,Katy McKinney-Bock,Methodology Cycle > Data Collection,Yes/No — long,Long Description,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20sources%20of%20bias%20are%20still%20present%20in%20the%20data%20cf7311b281634a5291d78aa1dd721c59.md,1620139440000What sources of bias are still present in the data collection methodology?,,,"This may be transformational, but I think we should consider documented sources of bias and bias mitigation as part of ethical research, and foundational information. The transformational component arises when this information is audited for what issues were not considered or what may be missing in the original discussion."
